Descrição,Código (SKU),Unidade,Preço,Preço promocional,Estoque disponível,Custo,origem
"VINIL JATEADO TRANSP C/0,52 CM FULL",IP746,UN,8,0,206.0,3.64,servi
"VINIL JATEADO TRANSP C/0,52 CM FULL + KIT - Ecommerce",IP746-KIT-Ecommerce,M,0,0,0.0,0,servi
"VINIL JATEADO TRANSP C/0,52 CM FULL + KIT - Ecommerce - 10 m.",KIT-IP746-10-933,M,85,0,8.0,0,servi
"VINIL JATEADO TRANSP C/0,52 CM FULL + KIT - Ecommerce - 15 m.",KIT-IP746-15-933,M,125,0,1.0,0,servi
"VINIL JATEADO TRANSP C/0,52 CM FULL + KIT - Ecommerce - 1m.",KIT-IP746-933,M,13,0,72.0,0,servi
"VINIL JATEADO TRANSP C/0,52 CM FULL + KIT - Ecommerce - 2 m.",KIT-IP746-2-933,M,21,0,72.0,0,servi
"VINIL JATEADO TRANSP C/0,52 CM FULL + KIT - Ecommerce - 20 m.",KIT-IP746-20-933,M,165,0,-2.0,0,servi
"VINIL JATEADO TRANSP C/0,52 CM FULL + KIT - Ecommerce - 3 m.",KIT-IP746-3-933,M,29,0,56.0,0,servi
"VINIL JATEADO TRANSP C/0,52 CM FULL + KIT - Ecommerce - 4 m.",KIT-IP746-4-933,M,37,0,39.0,0,servi
"VINIL JATEADO TRANSP C/0,52 CM FULL + KIT - Ecommerce - 5 m.",KIT-IP746-5-933,M,45,0,29.0,0,servi
"VINIL JATEADO TRANSP C/0,52 CM FULL + KIT - Ecommerce - 6 m.",KIT-IP746-6-933,M,48,0,22.0,0,servi
"VINIL JATEADO TRANSP C/0,52 CM FULL + KIT - Ecommerce - 8 m.",KIT-IP746-8-933,M,69,0,13.0,0,servi
"VINIL JATEADO TRANSP C/0,52 CM FULL + KIT - Ecommerce 2",IP746-KIT-Ecommerce2,M,0,0,0.0,0,servi
"VINIL JATEADO TRANSP C/0,52 CM FULL + KIT - Ecommerce 2 - 10 m.",KIT-IP746-10-933-1,M,85,0,8.0,0,servi
"VINIL JATEADO TRANSP C/0,52 CM FULL + KIT - Ecommerce 2 - 15 m.",KIT-IP746-15-933-1,M,125,0,1.0,0,servi
"VINIL JATEADO TRANSP C/0,52 CM FULL + KIT - Ecommerce 2 - 1m.",KIT-IP746-933-1,M,13,0,72.0,0,servi
"VINIL JATEADO TRANSP C/0,52 CM FULL + KIT - Ecommerce 2 - 2 m.",KIT-IP746-2-933-1,M,21,0,72.0,0,servi
"VINIL JATEADO TRANSP C/0,52 CM FULL + KIT - Ecommerce 2 - 20 m.",KIT-IP746-20-933-1,M,165,0,-2.0,0,servi
"VINIL JATEADO TRANSP C/0,52 CM FULL + KIT - Ecommerce 2 - 3 m.",KIT-IP746-3-933-1,M,29,0,56.0,0,servi
"VINIL JATEADO TRANSP C/0,52 CM FULL + KIT - Ecommerce 2 - 4 m.",KIT-IP746-4-933-1,M,37,0,39.0,0,servi
"VINIL JATEADO TRANSP C/0,52 CM FULL + KIT - Ecommerce 2 - 5 m.",KIT-IP746-5-933-1,M,45,0,29.0,0,servi
